This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
d21a85162bd1b38ca402a5b9cdffa4699fe5fc0e879f1923f0099c86e833cf06 18 0 0 0
74d196a5be16b6b7270703677b33f7def29188c10457f5f255929ebef93d6966 143 0 0 0
767dd51d979b47b5de5ee0420d84ae59834c23837f09f582a427a0735d653249 0 0 0 0
d63cade34901baeac082693c2e7f7648191f593ab71b8257df31fd3c5f507409 1 0 0 0
16cfe8b1b86bb91ddeddefc5ac304605d5fa3f28e7ec0c1a66627d26ce67fffc 0 0 0 0
540ee8298a96df9baf8f8d6d609cfcaf3a9c2d7b3a94068120a4904b553d6e25 32 0 0 0
6b475e0238a32ed4c015808d36ae4c86e135b87f3596eeef1206dccc25d6bcbc 114 0 0 0
b0970e944fb13e84acdb364a0e296fbf190698ac4bfde452dc7194ead9f62496 26 0 0 0
4b71e3185d5cd20141df0738de5cce76848c3280109421f5ea844180b5b87224 2 1 209 0
f34a5d84b30745e32ae2643a021a7f0386b9f66da523926b41503838c4f5bd87 1 1 1262 0
6e191bfdfe80021fabfcd5c0cdba70f5e3f50c56af30d6b5071bb0abd22e2b4e 7 1 142 19
c0fa5e2b0a02cb3762a955e400b50cd8f6b1a7ea46ddcb68da7481d35f819a78 12 1 1 0
63d2d229554927947a91c2f9778ce9e975d7538f1120a5644b580e9eb556d139 1871 0 0 0
f5a8032403f0e772bc402ec4104b9af3432378780950c487b5fd80dbc35e3efa 6 0 0 0
c385eba6ee302f11946a997b4e9aa9f10bb6788f314facd8bd57ae9ae08237af 366 11 724 91
b860271cdf18ee82cab3ba52349c5dd1eb0af74d47a798b8aac45cd6966c2780 414 3 213 230
7596791f34a48f1871d0292ea1ed173c5fb02df4d736eac11104d08cbc40f8e1 66 0 0 0
3b616ad9dc0f3ec1af2fcf4f0b35c87ad8ff4132dca407a3141f2220816bcec9 7756 133 242205 71577
f787bdf9dd28cf77ec0ec6566729e80367c3e7c311a44277750d4ca505631452 1 1 164163 0
acd463ba0e49a9e09e6ec0518a9fa08a38562f7c27ef494a47aefebb4047b2e2 703 7 7337 497
53b67c471a65d158557f30e29d4b6ab2f62d9d2450bc9dfc28d608106b6c6748 18 18 3945 284
c821ebf3de065f282691e756eb84f297c776890172d8f067a3836369bf065fae 29 1 245 160
3ad5f84a7f17b95754572f4790607fcc73b60343fcfc928182a015fc2a85912b 2 2 254 0
497710ada9e57eb5c6b206f1481bd1e504dab5ff93118d20e51311ec8975dbc2 6 6 254 18
